Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;02 Aragón;Hombres;65 y más;TOTAL;2019;124.235
Total Nacional;02 Aragón;Hombres;65 y más;Españoles;2021;124.250
Total Nacional;02 Aragón;Hombres;65 y más;Españoles;2020;123.655
Total Nacional;02 Aragón;Hombres;65 y más;Españoles;2019;122.580
Total Nacional;02 Aragón;Hombres;65 y más;Extranjeros;2021;2.124
Total Nacional;02 Aragón;Hombres;65 y más;Extranjeros;2020;1.947
Total Nacional;02 Aragón;Hombres;65 y más;Extranjeros;2019;1.655
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;TOTAL;2021;671.013
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;TOTAL;2020;673.335
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;TOTAL;2019;668.597
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;Españoles;2021;591.494
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;Españoles;2020;593.386
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;Españoles;2019;594.593
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;Extranjeros;2021;79.519
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;Extranjeros;2020;79.949
Total Nacional;02 Aragón;Mujeres;TOTAL EDADES;Extranjeros;2019;74.004
Total Nacional;02 Aragón;Mujeres;0-15 años;TOTAL;2021;94.196
Total Nacional;02 Aragón;Mujeres;0-15 años;TOTAL;2020;95.554
Total Nacional;02 Aragón;Mujeres;0-15 años;TOTAL;2019;95.864
Total Nacional;02 Aragón;Mujeres;0-15 años;Españoles;2021;80.863
Total Nacional;02 Aragón;Mujeres;0-15 años;Españoles;2020;82.292
Total Nacional;02 Aragón;Mujeres;0-15 años;Españoles;2019;83.428
Total Nacional;02 Aragón;Mujeres;0-15 años;Extranjeros;2021;13.333
Total Nacional;02 Aragón;Mujeres;0-15 años;Extranjeros;2020;13.262
Total Nacional;02 Aragón;Mujeres;0-15 años;Extranjeros;2019;12.436
Total Nacional;02 Aragón;Mujeres;16-64 años;TOTAL;2021;413.588
Total Nacional;02 Aragón;Mujeres;16-64 años;TOTAL;2020;414.721
Total Nacional;02 Aragón;Mujeres;16-64 años;TOTAL;2019;411.368
Total Nacional;02 Aragón;Mujeres;16-64 años;Españoles;2021;350.381
Total Nacional;02 Aragón;Mujeres;16-64 años;Españoles;2020;350.840
Total Nacional;02 Aragón;Mujeres;16-64 años;Españoles;2019;352.186
Total Nacional;02 Aragón;Mujeres;16-64 años;Extranjeros;2021;63.207
Total Nacional;02 Aragón;Mujeres;16-64 años;Extranjeros;2020;63.881
Total Nacional;02 Aragón;Mujeres;16-64 años;Extranjeros;2019;59.182
Total Nacional;02 Aragón;Mujeres;65 y más;TOTAL;2021;163.229
Total Nacional;02 Aragón;Mujeres;65 y más;TOTAL;2020;163.060
Total Nacional;02 Aragón;Mujeres;65 y más;TOTAL;2019;161.365
Total Nacional;02 Aragón;Mujeres;65 y más;Españoles;2021;160.250
Total Nacional;02 Aragón;Mujeres;65 y más;Españoles;2020;160.254
Total Nacional;02 Aragón;Mujeres;65 y más;Españoles;2019;158.979
Total Nacional;02 Aragón;Mujeres;65 y más;Extranjeros;2021;2.979
Total Nacional;02 Aragón;Mujeres;65 y más;Extranjeros;2020;2.806
Total Nacional;02 Aragón;Mujeres;65 y más;Extranjeros;2019;2.386
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;TOTAL;2021;1.011.792
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;TOTAL;2020;1.018.784
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;TOTAL;2019;1.022.800
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;Españoles;2021;966.347
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;Españoles;2020;973.463
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;Españoles;2019;981.174
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;Extranjeros;2021;45.445
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;Extranjeros;2020;45.321
Total Nacional;03 Asturias, Principado de;Ambos sexos;TOTAL EDADES;Extranjeros;2019;41.626
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;TOTAL;2021;115.112
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;TOTAL;2020;117.575
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;TOTAL;2019;119.337
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;Españoles;2021;109.099
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;Españoles;2020;111.475
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;Españoles;2019;113.729
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;Extranjeros;2021;6.013
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;Extranjeros;2020;6.100
Total Nacional;03 Asturias, Principado de;Ambos sexos;0-15 años;Extranjeros;2019;5.608
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;TOTAL;2021;627.841
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;TOTAL;2020;634.642
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;TOTAL;2019;640.470
