Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;TOTAL;2019;4.980.425
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;Españoles;2021;4.059.156
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;Españoles;2020;4.054.105
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;Españoles;2019;4.054.264
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;Extranjeros;2021;1.002.356
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;Extranjeros;2020;1.009.192
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;Extranjeros;2019;926.161
Total Nacional;09 Cataluña;Ambos sexos;65 y más;TOTAL;2021;1.478.671
Total Nacional;09 Cataluña;Ambos sexos;65 y más;TOTAL;2020;1.468.361
Total Nacional;09 Cataluña;Ambos sexos;65 y más;TOTAL;2019;1.442.754
Total Nacional;09 Cataluña;Ambos sexos;65 y más;Españoles;2021;1.425.016
Total Nacional;09 Cataluña;Ambos sexos;65 y más;Españoles;2020;1.416.064
Total Nacional;09 Cataluña;Ambos sexos;65 y más;Españoles;2019;1.396.049
Total Nacional;09 Cataluña;Ambos sexos;65 y más;Extranjeros;2021;53.655
Total Nacional;09 Cataluña;Ambos sexos;65 y más;Extranjeros;2020;52.297
Total Nacional;09 Cataluña;Ambos sexos;65 y más;Extranjeros;2019;46.705
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;TOTAL;2021;3.819.831
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;TOTAL;2020;3.826.964
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;TOTAL;2019;3.770.123
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;Españoles;2021;3.172.812
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;Españoles;2020;3.176.668
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;Españoles;2019;3.174.342
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;Extranjeros;2021;647.019
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;Extranjeros;2020;650.296
Total Nacional;09 Cataluña;Hombres;TOTAL EDADES;Extranjeros;2019;595.781
Total Nacional;09 Cataluña;Hombres;0-15 años;TOTAL;2021;629.443
Total Nacional;09 Cataluña;Hombres;0-15 años;TOTAL;2020;642.784
Total Nacional;09 Cataluña;Hombres;0-15 años;TOTAL;2019;644.444
Total Nacional;09 Cataluña;Hombres;0-15 años;Españoles;2021;529.180
Total Nacional;09 Cataluña;Hombres;0-15 años;Españoles;2020;539.996
Total Nacional;09 Cataluña;Hombres;0-15 años;Españoles;2019;548.071
Total Nacional;09 Cataluña;Hombres;0-15 años;Extranjeros;2021;100.263
Total Nacional;09 Cataluña;Hombres;0-15 años;Extranjeros;2020;102.788
Total Nacional;09 Cataluña;Hombres;0-15 años;Extranjeros;2019;96.373
Total Nacional;09 Cataluña;Hombres;16-64 años;TOTAL;2021;2.555.179
Total Nacional;09 Cataluña;Hombres;16-64 años;TOTAL;2020;2.553.876
Total Nacional;09 Cataluña;Hombres;16-64 años;TOTAL;2019;2.507.036
Total Nacional;09 Cataluña;Hombres;16-64 años;Españoles;2021;2.032.173
Total Nacional;09 Cataluña;Hombres;16-64 años;Españoles;2020;2.029.184
Total Nacional;09 Cataluña;Hombres;16-64 años;Españoles;2019;2.028.049
Total Nacional;09 Cataluña;Hombres;16-64 años;Extranjeros;2021;523.006
Total Nacional;09 Cataluña;Hombres;16-64 años;Extranjeros;2020;524.692
Total Nacional;09 Cataluña;Hombres;16-64 años;Extranjeros;2019;478.987
Total Nacional;09 Cataluña;Hombres;65 y más;TOTAL;2021;635.209
Total Nacional;09 Cataluña;Hombres;65 y más;TOTAL;2020;630.304
Total Nacional;09 Cataluña;Hombres;65 y más;TOTAL;2019;618.643
Total Nacional;09 Cataluña;Hombres;65 y más;Españoles;2021;611.459
Total Nacional;09 Cataluña;Hombres;65 y más;Españoles;2020;607.488
Total Nacional;09 Cataluña;Hombres;65 y más;Españoles;2019;598.222
Total Nacional;09 Cataluña;Hombres;65 y más;Extranjeros;2021;23.750
Total Nacional;09 Cataluña;Hombres;65 y más;Extranjeros;2020;22.816
Total Nacional;09 Cataluña;Hombres;65 y más;Extranjeros;2019;20.421
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;TOTAL;2021;3.943.531
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;TOTAL;2020;3.953.515
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;TOTAL;2019;3.905.094
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;Españoles;2021;3.339.885
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;Españoles;2020;3.343.192
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;Españoles;2019;3.341.448
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;Extranjeros;2021;603.646
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;Extranjeros;2020;610.323
Total Nacional;09 Cataluña;Mujeres;TOTAL EDADES;Extranjeros;2019;563.646
Total Nacional;09 Cataluña;Mujeres;0-15 años;TOTAL;2021;593.736
Total Nacional;09 Cataluña;Mujeres;0-15 años;TOTAL;2020;606.037
Total Nacional;09 Cataluña;Mujeres;0-15 años;TOTAL;2019;607.594
Total Nacional;09 Cataluña;Mujeres;0-15 años;Españoles;2021;499.345
Total Nacional;09 Cataluña;Mujeres;0-15 años;Españoles;2020;509.695
Total Nacional;09 Cataluña;Mujeres;0-15 años;Españoles;2019;517.406
Total Nacional;09 Cataluña;Mujeres;0-15 años;Extranjeros;2021;94.391
Total Nacional;09 Cataluña;Mujeres;0-15 años;Extranjeros;2020;96.342
Total Nacional;09 Cataluña;Mujeres;0-15 años;Extranjeros;2019;90.188
Total Nacional;09 Cataluña;Mujeres;16-64 años;TOTAL;2021;2.506.333
Total Nacional;09 Cataluña;Mujeres;16-64 años;TOTAL;2020;2.509.421
Total Nacional;09 Cataluña;Mujeres;16-64 años;TOTAL;2019;2.473.389
Total Nacional;09 Cataluña;Mujeres;16-64 años;Españoles;2021;2.026.983
Total Nacional;09 Cataluña;Mujeres;16-64 años;Españoles;2020;2.024.921
Total Nacional;09 Cataluña;Mujeres;16-64 años;Españoles;2019;2.026.215
Total Nacional;09 Cataluña;Mujeres;16-64 años;Extranjeros;2021;479.350
Total Nacional;09 Cataluña;Mujeres;16-64 años;Extranjeros;2020;484.500
Total Nacional;09 Cataluña;Mujeres;16-64 años;Extranjeros;2019;447.174
Total Nacional;09 Cataluña;Mujeres;65 y más;TOTAL;2021;843.462
Total Nacional;09 Cataluña;Mujeres;65 y más;TOTAL;2020;838.057
Total Nacional;09 Cataluña;Mujeres;65 y más;TOTAL;2019;824.111
Total Nacional;09 Cataluña;Mujeres;65 y más;Españoles;2021;813.557
Total Nacional;09 Cataluña;Mujeres;65 y más;Españoles;2020;808.576
Total Nacional;09 Cataluña;Mujeres;65 y más;Españoles;2019;797.827
Total Nacional;09 Cataluña;Mujeres;65 y más;Extranjeros;2021;29.905
Total Nacional;09 Cataluña;Mujeres;65 y más;Extranjeros;2020;29.481
Total Nacional;09 Cataluña;Mujeres;65 y más;Extranjeros;2019;26.284
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;TOTAL;2021;5.058.138
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;TOTAL;2020;5.057.353
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;TOTAL;2019;5.003.769
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;Españoles;2021;4.306.522
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;Españoles;2020;4.305.222
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;Españoles;2019;4.300.356
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;Extranjeros;2021;751.616
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;Extranjeros;2020;752.131
Total Nacional;10 Comunitat Valenciana;Ambos sexos;TOTAL EDADES;Extranjeros;2019;703.413
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;TOTAL;2021;772.819
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;TOTAL;2020;788.048
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;TOTAL;2019;791.254
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;Españoles;2021;661.500
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;Españoles;2020;675.123
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;Españoles;2019;685.758
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;Extranjeros;2021;111.319
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;Extranjeros;2020;112.925
Total Nacional;10 Comunitat Valenciana;Ambos sexos;0-15 años;Extranjeros;2019;105.496
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;TOTAL;2021;3.289.261
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;TOTAL;2020;3.287.553
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;TOTAL;2019;3.248.641
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;Españoles;2021;2.747.628
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;Españoles;2020;2.745.744
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;Españoles;2019;2.744.622
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;Extranjeros;2021;541.633
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;Extranjeros;2020;541.809
Total Nacional;10 Comunitat Valenciana;Ambos sexos;16-64 años;Extranjeros;2019;504.019
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;TOTAL;2021;996.058
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;TOTAL;2020;981.752
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;TOTAL;2019;963.874
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;Españoles;2021;897.394
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;Españoles;2020;884.355
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;Españoles;2019;869.976
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;Extranjeros;2021;98.664
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;Extranjeros;2020;97.397
Total Nacional;10 Comunitat Valenciana;Ambos sexos;65 y más;Extranjeros;2019;93.898
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;TOTAL;2021;2.491.394
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;TOTAL;2020;2.492.121
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;TOTAL;2019;2.465.342
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;Españoles;2021;2.113.837
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;Españoles;2020;2.113.571
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;Españoles;2019;2.111.351
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;Extranjeros;2021;377.557
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;Extranjeros;2020;378.550
Total Nacional;10 Comunitat Valenciana;Hombres;TOTAL EDADES;Extranjeros;2019;353.991
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;TOTAL;2021;398.028
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;TOTAL;2020;405.969
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;TOTAL;2019;407.318
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;Españoles;2021;340.329
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;Españoles;2020;347.470
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;Españoles;2019;352.657
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;Extranjeros;2021;57.699
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;Extranjeros;2020;58.499
Total Nacional;10 Comunitat Valenciana;Hombres;0-15 años;Extranjeros;2019;54.661
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;TOTAL;2021;1.656.547
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;TOTAL;2020;1.656.167
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;TOTAL;2019;1.635.979
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;Españoles;2021;1.385.202
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;Españoles;2020;1.383.935
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;Españoles;2019;1.383.030
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;Extranjeros;2021;271.345
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;Extranjeros;2020;272.232
Total Nacional;10 Comunitat Valenciana;Hombres;16-64 años;Extranjeros;2019;252.949
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;TOTAL;2021;436.819
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;TOTAL;2020;429.985
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;TOTAL;2019;422.045
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;Españoles;2021;388.306
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;Españoles;2020;382.166
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;Españoles;2019;375.664
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;Extranjeros;2021;48.513
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;Extranjeros;2020;47.819
Total Nacional;10 Comunitat Valenciana;Hombres;65 y más;Extranjeros;2019;46.381
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;TOTAL;2021;2.566.744
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;TOTAL;2020;2.565.232
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;TOTAL;2019;2.538.427
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;Españoles;2021;2.192.685
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;Españoles;2020;2.191.651
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;Españoles;2019;2.189.005
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;Extranjeros;2021;374.059
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;Extranjeros;2020;373.581
Total Nacional;10 Comunitat Valenciana;Mujeres;TOTAL EDADES;Extranjeros;2019;349.422
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;TOTAL;2021;374.791
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;TOTAL;2020;382.079
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;TOTAL;2019;383.936
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;Españoles;2021;321.171
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;Españoles;2020;327.653
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;Españoles;2019;333.101
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;Extranjeros;2021;53.620
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;Extranjeros;2020;54.426
Total Nacional;10 Comunitat Valenciana;Mujeres;0-15 años;Extranjeros;2019;50.835
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;TOTAL;2021;1.632.714
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;TOTAL;2020;1.631.386
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;TOTAL;2019;1.612.662
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;Españoles;2021;1.362.426
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;Españoles;2020;1.361.809
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;Españoles;2019;1.361.592
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;Extranjeros;2021;270.288
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;Extranjeros;2020;269.577
Total Nacional;10 Comunitat Valenciana;Mujeres;16-64 años;Extranjeros;2019;251.070
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;TOTAL;2021;559.239
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;TOTAL;2020;551.767
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;TOTAL;2019;541.829
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;Españoles;2021;509.088
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;Españoles;2020;502.189
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;Españoles;2019;494.312
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;Extranjeros;2021;50.151
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;Extranjeros;2020;49.578
Total Nacional;10 Comunitat Valenciana;Mujeres;65 y más;Extranjeros;2019;47.517
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;TOTAL;2021;1.059.501
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;TOTAL;2020;1.063.987
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;TOTAL;2019;1.067.710
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;Españoles;2021;1.024.615
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;Españoles;2020;1.029.320
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;Españoles;2019;1.035.087
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;Extranjeros;2021;34.886
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;Extranjeros;2020;34.667
Total Nacional;11 Extremadura;Ambos sexos;TOTAL EDADES;Extranjeros;2019;32.623
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;TOTAL;2021;150.078
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;TOTAL;2020;152.774
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;TOTAL;2019;155.257
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;Españoles;2021;144.474
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;Españoles;2020;147.187
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;Españoles;2019;149.932
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;Extranjeros;2021;5.604
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;Extranjeros;2020;5.587
Total Nacional;11 Extremadura;Ambos sexos;0-15 años;Extranjeros;2019;5.325
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;TOTAL;2021;685.088
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;TOTAL;2020;687.967
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;TOTAL;2019;691.235
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;Españoles;2021;657.681
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;Españoles;2020;660.656
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;Españoles;2019;665.520
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;Extranjeros;2021;27.407
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;Extranjeros;2020;27.311
Total Nacional;11 Extremadura;Ambos sexos;16-64 años;Extranjeros;2019;25.715
Total Nacional;11 Extremadura;Ambos sexos;65 y más;TOTAL;2021;224.335
Total Nacional;11 Extremadura;Ambos sexos;65 y más;TOTAL;2020;223.246
Total Nacional;11 Extremadura;Ambos sexos;65 y más;TOTAL;2019;221.218
Total Nacional;11 Extremadura;Ambos sexos;65 y más;Españoles;2021;222.460
Total Nacional;11 Extremadura;Ambos sexos;65 y más;Españoles;2020;221.477
Total Nacional;11 Extremadura;Ambos sexos;65 y más;Españoles;2019;219.635
Total Nacional;11 Extremadura;Ambos sexos;65 y más;Extranjeros;2021;1.875
Total Nacional;11 Extremadura;Ambos sexos;65 y más;Extranjeros;2020;1.769
Total Nacional;11 Extremadura;Ambos sexos;65 y más;Extranjeros;2019;1.583
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;TOTAL;2021;523.976
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;TOTAL;2020;526.288
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;TOTAL;2019;528.500
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;Españoles;2021;507.185
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;Españoles;2020;509.500
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;Españoles;2019;512.596
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;Extranjeros;2021;16.791
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;Extranjeros;2020;16.788
Total Nacional;11 Extremadura;Hombres;TOTAL EDADES;Extranjeros;2019;15.904
Total Nacional;11 Extremadura;Hombres;0-15 años;TOTAL;2021;77.099
Total Nacional;11 Extremadura;Hombres;0-15 años;TOTAL;2020;78.407
Total Nacional;11 Extremadura;Hombres;0-15 años;TOTAL;2019;79.683
Total Nacional;11 Extremadura;Hombres;0-15 años;Españoles;2021;74.210
Total Nacional;11 Extremadura;Hombres;0-15 años;Españoles;2020;75.525
Total Nacional;11 Extremadura;Hombres;0-15 años;Españoles;2019;76.955
Total Nacional;11 Extremadura;Hombres;0-15 años;Extranjeros;2021;2.889
Total Nacional;11 Extremadura;Hombres;0-15 años;Extranjeros;2020;2.882
Total Nacional;11 Extremadura;Hombres;0-15 años;Extranjeros;2019;2.728
Total Nacional;11 Extremadura;Hombres;16-64 años;TOTAL;2021;347.795
Total Nacional;11 Extremadura;Hombres;16-64 años;TOTAL;2020;349.629
Total Nacional;11 Extremadura;Hombres;16-64 años;TOTAL;2019;351.801
Total Nacional;11 Extremadura;Hombres;16-64 años;Españoles;2021;334.817
Total Nacional;11 Extremadura;Hombres;16-64 años;Españoles;2020;336.584
Total Nacional;11 Extremadura;Hombres;16-64 años;Españoles;2019;339.401
Total Nacional;11 Extremadura;Hombres;16-64 años;Extranjeros;2021;12.978
Total Nacional;11 Extremadura;Hombres;16-64 años;Extranjeros;2020;13.045
Total Nacional;11 Extremadura;Hombres;16-64 años;Extranjeros;2019;12.400
Total Nacional;11 Extremadura;Hombres;65 y más;TOTAL;2021;99.082
Total Nacional;11 Extremadura;Hombres;65 y más;TOTAL;2020;98.252
Total Nacional;11 Extremadura;Hombres;65 y más;TOTAL;2019;97.016
Total Nacional;11 Extremadura;Hombres;65 y más;Españoles;2021;98.158
Total Nacional;11 Extremadura;Hombres;65 y más;Españoles;2020;97.391
Total Nacional;11 Extremadura;Hombres;65 y más;Españoles;2019;96.240
Total Nacional;11 Extremadura;Hombres;65 y más;Extranjeros;2021;924
Total Nacional;11 Extremadura;Hombres;65 y más;Extranjeros;2020;861
Total Nacional;11 Extremadura;Hombres;65 y más;Extranjeros;2019;776
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;TOTAL;2021;535.525
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;TOTAL;2020;537.699
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;TOTAL;2019;539.210
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;Españoles;2021;517.430
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;Españoles;2020;519.820
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;Españoles;2019;522.491
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;Extranjeros;2021;18.095
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;Extranjeros;2020;17.879
Total Nacional;11 Extremadura;Mujeres;TOTAL EDADES;Extranjeros;2019;16.719
Total Nacional;11 Extremadura;Mujeres;0-15 años;TOTAL;2021;72.979
Total Nacional;11 Extremadura;Mujeres;0-15 años;TOTAL;2020;74.367
Total Nacional;11 Extremadura;Mujeres;0-15 años;TOTAL;2019;75.574
Total Nacional;11 Extremadura;Mujeres;0-15 años;Españoles;2021;70.264
Total Nacional;11 Extremadura;Mujeres;0-15 años;Españoles;2020;71.662
Total Nacional;11 Extremadura;Mujeres;0-15 años;Españoles;2019;72.977
Total Nacional;11 Extremadura;Mujeres;0-15 años;Extranjeros;2021;2.715
Total Nacional;11 Extremadura;Mujeres;0-15 años;Extranjeros;2020;2.705
Total Nacional;11 Extremadura;Mujeres;0-15 años;Extranjeros;2019;2.597
Total Nacional;11 Extremadura;Mujeres;16-64 años;TOTAL;2021;337.293
Total Nacional;11 Extremadura;Mujeres;16-64 años;TOTAL;2020;338.338
Total Nacional;11 Extremadura;Mujeres;16-64 años;TOTAL;2019;339.434
Total Nacional;11 Extremadura;Mujeres;16-64 años;Españoles;2021;322.864
Total Nacional;11 Extremadura;Mujeres;16-64 años;Españoles;2020;324.072
Total Nacional;11 Extremadura;Mujeres;16-64 años;Españoles;2019;326.119
Total Nacional;11 Extremadura;Mujeres;16-64 años;Extranjeros;2021;14.429
Total Nacional;11 Extremadura;Mujeres;16-64 años;Extranjeros;2020;14.266
Total Nacional;11 Extremadura;Mujeres;16-64 años;Extranjeros;2019;13.315
Total Nacional;11 Extremadura;Mujeres;65 y más;TOTAL;2021;125.253
Total Nacional;11 Extremadura;Mujeres;65 y más;TOTAL;2020;124.994
Total Nacional;11 Extremadura;Mujeres;65 y más;TOTAL;2019;124.202
Total Nacional;11 Extremadura;Mujeres;65 y más;Españoles;2021;124.302
Total Nacional;11 Extremadura;Mujeres;65 y más;Españoles;2020;124.086
Total Nacional;11 Extremadura;Mujeres;65 y más;Españoles;2019;123.395
Total Nacional;11 Extremadura;Mujeres;65 y más;Extranjeros;2021;951
Total Nacional;11 Extremadura;Mujeres;65 y más;Extranjeros;2020;908
Total Nacional;11 Extremadura;Mujeres;65 y más;Extranjeros;2019;807
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;TOTAL;2021;2.695.645
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;TOTAL;2020;2.701.819
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;TOTAL;2019;2.699.499
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;Españoles;2021;2.581.111
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;Españoles;2020;2.589.181
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;Españoles;2019;2.598.631
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;Extranjeros;2021;114.534
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;Extranjeros;2020;112.638
Total Nacional;12 Galicia;Ambos sexos;TOTAL EDADES;Extranjeros;2019;100.868
Total Nacional;12 Galicia;Ambos sexos;0-15 años;TOTAL;2021;333.678
Total Nacional;12 Galicia;Ambos sexos;0-15 años;TOTAL;2020;339.176
Total Nacional;12 Galicia;Ambos sexos;0-15 años;TOTAL;2019;342.494
Total Nacional;12 Galicia;Ambos sexos;0-15 años;Españoles;2021;319.384
Total Nacional;12 Galicia;Ambos sexos;0-15 años;Españoles;2020;324.904
Total Nacional;12 Galicia;Ambos sexos;0-15 años;Españoles;2019;329.954
Total Nacional;12 Galicia;Ambos sexos;0-15 años;Extranjeros;2021;14.294
Total Nacional;12 Galicia;Ambos sexos;0-15 años;Extranjeros;2020;14.272
Total Nacional;12 Galicia;Ambos sexos;0-15 años;Extranjeros;2019;12.540
