Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;15 Navarra, Comunidad Foral de;Valor;K. Actividades financieras y de seguros;2019;594.970
Total Nacional;15 Navarra, Comunidad Foral de;Valor;L. Actividades inmobiliarias;2021(P);1.771.163
Total Nacional;15 Navarra, Comunidad Foral de;Valor;L. Actividades inmobiliarias;2020;1.724.364
Total Nacional;15 Navarra, Comunidad Foral de;Valor;L. Actividades inmobiliarias;2019;1.704.164
Total Nacional;15 Navarra, Comunidad Foral de;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);1.224.884
Total Nacional;15 Navarra, Comunidad Foral de;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.153.342
Total Nacional;15 Navarra, Comunidad Foral de;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.288.066
Total Nacional;15 Navarra, Comunidad Foral de;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);3.212.054
Total Nacional;15 Navarra, Comunidad Foral de;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;3.126.160
Total Nacional;15 Navarra, Comunidad Foral de;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;3.083.050
Total Nacional;15 Navarra, Comunidad Foral de;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);720.883
Total Nacional;15 Navarra, Comunidad Foral de;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;682.470
Total Nacional;15 Navarra, Comunidad Foral de;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;838.229
Total Nacional;15 Navarra, Comunidad Foral de;Valor;Valor añadido bruto total;2021(P);18.563.854
Total Nacional;15 Navarra, Comunidad Foral de;Valor;Valor añadido bruto total;2020;17.280.233
Total Nacional;15 Navarra, Comunidad Foral de;Valor;Valor añadido bruto total;2019;18.931.144
Total Nacional;15 Navarra, Comunidad Foral de;Valor;Impuestos netos sobre los productos;2021(P);1.954.617
Total Nacional;15 Navarra, Comunidad Foral de;Valor;Impuestos netos sobre los productos;2020;1.657.206
Total Nacional;15 Navarra, Comunidad Foral de;Valor;Impuestos netos sobre los productos;2019;1.942.253
Total Nacional;15 Navarra, Comunidad Foral de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.518.471
Total Nacional;15 Navarra, Comunidad Foral de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;18.937.439
Total Nacional;15 Navarra, Comunidad Foral de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;20.873.397
Total Nacional;16 País Vasco;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);72.225.883
Total Nacional;16 País Vasco;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;66.495.632
Total Nacional;16 País Vasco;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;74.074.980
Total Nacional;16 País Vasco;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);363.562
Total Nacional;16 País Vasco;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;359.805
Total Nacional;16 País Vasco;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;412.684
Total Nacional;16 País Vasco;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);15.970.120
Total Nacional;16 País Vasco;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;14.176.298
Total Nacional;16 País Vasco;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;15.911.335
Total Nacional;16 País Vasco;Valor;C. - De las cuales: Industria manufacturera;2021(P);13.885.747
Total Nacional;16 País Vasco;Valor;C. - De las cuales: Industria manufacturera;2020;12.207.532
Total Nacional;16 País Vasco;Valor;C. - De las cuales: Industria manufacturera;2019;13.937.713
Total Nacional;16 País Vasco;Valor;F. Construcción;2021(P);4.119.180
Total Nacional;16 País Vasco;Valor;F. Construcción;2020;4.091.716
Total Nacional;16 País Vasco;Valor;F. Construcción;2019;4.790.959
Total Nacional;16 País Vasco;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);12.718.085
Total Nacional;16 País Vasco;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;10.912.708
Total Nacional;16 País Vasco;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;13.773.476
Total Nacional;16 País Vasco;Valor;J. Información y comunicaciones;2021(P);1.829.198
Total Nacional;16 País Vasco;Valor;J. Información y comunicaciones;2020;1.735.647
Total Nacional;16 País Vasco;Valor;J. Información y comunicaciones;2019;1.774.470
Total Nacional;16 País Vasco;Valor;K. Actividades financieras y de seguros;2021(P);2.443.438
Total Nacional;16 País Vasco;Valor;K. Actividades financieras y de seguros;2020;2.409.855
Total Nacional;16 País Vasco;Valor;K. Actividades financieras y de seguros;2019;2.304.219
Total Nacional;16 País Vasco;Valor;L. Actividades inmobiliarias;2021(P);7.699.357
Total Nacional;16 País Vasco;Valor;L. Actividades inmobiliarias;2020;7.550.809
Total Nacional;16 País Vasco;Valor;L. Actividades inmobiliarias;2019;7.543.359
Total Nacional;16 País Vasco;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);5.430.078
Total Nacional;16 País Vasco;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;5.067.410
Total Nacional;16 País Vasco;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;5.460.189
Total Nacional;16 País Vasco;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);11.987.055
Total Nacional;16 País Vasco;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;11.667.775
Total Nacional;16 País Vasco;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;11.895.334
Total Nacional;16 País Vasco;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);2.785.475
Total Nacional;16 País Vasco;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.704.610
Total Nacional;16 País Vasco;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;3.316.337
Total Nacional;16 País Vasco;Valor;Valor añadido bruto total;2021(P);65.345.548
Total Nacional;16 País Vasco;Valor;Valor añadido bruto total;2020;60.676.633
Total Nacional;16 País Vasco;Valor;Valor añadido bruto total;2019;67.182.362
Total Nacional;16 País Vasco;Valor;Impuestos netos sobre los productos;2021(P);6.880.335
Total Nacional;16 País Vasco;Valor;Impuestos netos sobre los productos;2020;5.818.999
Total Nacional;16 País Vasco;Valor;Impuestos netos sobre los productos;2019;6.892.618
Total Nacional;16 País Vasco;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);72.225.883
Total Nacional;16 País Vasco;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;66.495.632
Total Nacional;16 País Vasco;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;74.074.980
Total Nacional;17 Rioja, La;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.619.779
Total Nacional;17 Rioja, La;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;8.105.603
Total Nacional;17 Rioja, La;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.822.400
Total Nacional;17 Rioja, La;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);476.624
Total Nacional;17 Rioja, La;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;467.196
Total Nacional;17 Rioja, La;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;480.753
Total Nacional;17 Rioja, La;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.987.268
Total Nacional;17 Rioja, La;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.881.181
Total Nacional;17 Rioja, La;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;2.041.910
Total Nacional;17 Rioja, La;Valor;C. - De las cuales: Industria manufacturera;2021(P);1.687.784
Total Nacional;17 Rioja, La;Valor;C. - De las cuales: Industria manufacturera;2020;1.617.797
Total Nacional;17 Rioja, La;Valor;C. - De las cuales: Industria manufacturera;2019;1.786.257
Total Nacional;17 Rioja, La;Valor;F. Construcción;2021(P);438.925
Total Nacional;17 Rioja, La;Valor;F. Construcción;2020;429.765
Total Nacional;17 Rioja, La;Valor;F. Construcción;2019;493.419
Total Nacional;17 Rioja, La;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);1.445.108
Total Nacional;17 Rioja, La;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;1.236.936
Total Nacional;17 Rioja, La;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;1.543.333
Total Nacional;17 Rioja, La;Valor;J. Información y comunicaciones;2021(P);115.554
Total Nacional;17 Rioja, La;Valor;J. Información y comunicaciones;2020;109.888
Total Nacional;17 Rioja, La;Valor;J. Información y comunicaciones;2019;114.029
Total Nacional;17 Rioja, La;Valor;K. Actividades financieras y de seguros;2021(P);292.692
Total Nacional;17 Rioja, La;Valor;K. Actividades financieras y de seguros;2020;293.045
Total Nacional;17 Rioja, La;Valor;K. Actividades financieras y de seguros;2019;280.739
Total Nacional;17 Rioja, La;Valor;L. Actividades inmobiliarias;2021(P);844.755
Total Nacional;17 Rioja, La;Valor;L. Actividades inmobiliarias;2020;820.323
Total Nacional;17 Rioja, La;Valor;L. Actividades inmobiliarias;2019;825.629
Total Nacional;17 Rioja, La;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);442.536
Total Nacional;17 Rioja, La;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;415.228
Total Nacional;17 Rioja, La;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;443.334
Total Nacional;17 Rioja, La;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);1.494.772
Total Nacional;17 Rioja, La;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;1.483.262
Total Nacional;17 Rioja, La;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;1.459.663
Total Nacional;17 Rioja, La;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);260.413
Total Nacional;17 Rioja, La;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;259.462
Total Nacional;17 Rioja, La;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;318.674
Total Nacional;17 Rioja, La;Valor;Valor añadido bruto total;2021(P);7.798.647
Total Nacional;17 Rioja, La;Valor;Valor añadido bruto total;2020;7.396.286
Total Nacional;17 Rioja, La;Valor;Valor añadido bruto total;2019;8.001.483
Total Nacional;17 Rioja, La;Valor;Impuestos netos sobre los productos;2021(P);821.132
Total Nacional;17 Rioja, La;Valor;Impuestos netos sobre los productos;2020;709.317
Total Nacional;17 Rioja, La;Valor;Impuestos netos sobre los productos;2019;820.917
Total Nacional;17 Rioja, La;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.619.779
Total Nacional;17 Rioja, La;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;8.105.603
Total Nacional;17 Rioja, La;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.822.400
Total Nacional;18 Ceuta;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.765.159
Total Nacional;18 Ceuta;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.655.168
Total Nacional;18 Ceuta;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.774.927
Total Nacional;18 Ceuta;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);1.748
Total Nacional;18 Ceuta;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;1.478
Total Nacional;18 Ceuta;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;1.517
Total Nacional;18 Ceuta;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);96.752
Total Nacional;18 Ceuta;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;84.988
Total Nacional;18 Ceuta;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;86.879
Total Nacional;18 Ceuta;Valor;C. - De las cuales: Industria manufacturera;2021(P);22.099
Total Nacional;18 Ceuta;Valor;C. - De las cuales: Industria manufacturera;2020;19.841
Total Nacional;18 Ceuta;Valor;C. - De las cuales: Industria manufacturera;2019;22.250
Total Nacional;18 Ceuta;Valor;F. Construcción;2021(P);73.384
Total Nacional;18 Ceuta;Valor;F. Construcción;2020;69.950
Total Nacional;18 Ceuta;Valor;F. Construcción;2019;81.969
Total Nacional;18 Ceuta;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);300.003
Total Nacional;18 Ceuta;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;260.598
Total Nacional;18 Ceuta;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;325.057
Total Nacional;18 Ceuta;Valor;J. Información y comunicaciones;2021(P);15.550
Total Nacional;18 Ceuta;Valor;J. Información y comunicaciones;2020;14.843
Total Nacional;18 Ceuta;Valor;J. Información y comunicaciones;2019;15.294
Total Nacional;18 Ceuta;Valor;K. Actividades financieras y de seguros;2021(P);38.067
Total Nacional;18 Ceuta;Valor;K. Actividades financieras y de seguros;2020;37.667
Total Nacional;18 Ceuta;Valor;K. Actividades financieras y de seguros;2019;35.995
Total Nacional;18 Ceuta;Valor;L. Actividades inmobiliarias;2021(P);162.180
Total Nacional;18 Ceuta;Valor;L. Actividades inmobiliarias;2020;160.710
Total Nacional;18 Ceuta;Valor;L. Actividades inmobiliarias;2019;161.717
Total Nacional;18 Ceuta;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);68.327
Total Nacional;18 Ceuta;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;60.638
Total Nacional;18 Ceuta;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;66.314
Total Nacional;18 Ceuta;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);787.963
Total Nacional;18 Ceuta;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;766.895
Total Nacional;18 Ceuta;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;768.635
Total Nacional;18 Ceuta;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);53.034
Total Nacional;18 Ceuta;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;52.558
Total Nacional;18 Ceuta;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;66.394
Total Nacional;18 Ceuta;Valor;Valor añadido bruto total;2021(P);1.597.008
Total Nacional;18 Ceuta;Valor;Valor añadido bruto total;2020;1.510.325
Total Nacional;18 Ceuta;Valor;Valor añadido bruto total;2019;1.609.771
Total Nacional;18 Ceuta;Valor;Impuestos netos sobre los productos;2021(P);168.151
Total Nacional;18 Ceuta;Valor;Impuestos netos sobre los productos;2020;144.843
Total Nacional;18 Ceuta;Valor;Impuestos netos sobre los productos;2019;165.156
Total Nacional;18 Ceuta;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.765.159
Total Nacional;18 Ceuta;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.655.168
Total Nacional;18 Ceuta;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.774.927
Total Nacional;19 Melilla;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.616.543
Total Nacional;19 Melilla;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.514.009
Total Nacional;19 Melilla;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.625.086
Total Nacional;19 Melilla;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);946
Total Nacional;19 Melilla;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;971
Total Nacional;19 Melilla;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;768
Total Nacional;19 Melilla;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);68.466
Total Nacional;19 Melilla;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;58.690
Total Nacional;19 Melilla;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;64.244
Total Nacional;19 Melilla;Valor;C. - De las cuales: Industria manufacturera;2021(P);14.252
Total Nacional;19 Melilla;Valor;C. - De las cuales: Industria manufacturera;2020;12.664
Total Nacional;19 Melilla;Valor;C. - De las cuales: Industria manufacturera;2019;14.042
Total Nacional;19 Melilla;Valor;F. Construcción;2021(P);73.277
Total Nacional;19 Melilla;Valor;F. Construcción;2020;72.557
Total Nacional;19 Melilla;Valor;F. Construcción;2019;84.635
Total Nacional;19 Melilla;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);259.057
Total Nacional;19 Melilla;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;224.893
Total Nacional;19 Melilla;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;284.775
Total Nacional;19 Melilla;Valor;J. Información y comunicaciones;2021(P);10.634
Total Nacional;19 Melilla;Valor;J. Información y comunicaciones;2020;10.075
Total Nacional;19 Melilla;Valor;J. Información y comunicaciones;2019;10.331
Total Nacional;19 Melilla;Valor;K. Actividades financieras y de seguros;2021(P);34.635
Total Nacional;19 Melilla;Valor;K. Actividades financieras y de seguros;2020;34.665
Total Nacional;19 Melilla;Valor;K. Actividades financieras y de seguros;2019;32.487
Total Nacional;19 Melilla;Valor;L. Actividades inmobiliarias;2021(P);158.451
Total Nacional;19 Melilla;Valor;L. Actividades inmobiliarias;2020;154.621
Total Nacional;19 Melilla;Valor;L. Actividades inmobiliarias;2019;154.826
Total Nacional;19 Melilla;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);73.455
Total Nacional;19 Melilla;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;65.310
Total Nacional;19 Melilla;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;71.487
Total Nacional;19 Melilla;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);730.203
Total Nacional;19 Melilla;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;708.830
Total Nacional;19 Melilla;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;707.223
Total Nacional;19 Melilla;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);53.425
Total Nacional;19 Melilla;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;50.907
Total Nacional;19 Melilla;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;63.097
Total Nacional;19 Melilla;Valor;Valor añadido bruto total;2021(P);1.462.549
Total Nacional;19 Melilla;Valor;Valor añadido bruto total;2020;1.381.519
Total Nacional;19 Melilla;Valor;Valor añadido bruto total;2019;1.473.873
Total Nacional;19 Melilla;Valor;Impuestos netos sobre los productos;2021(P);153.994
Total Nacional;19 Melilla;Valor;Impuestos netos sobre los productos;2020;132.490
Total Nacional;19 Melilla;Valor;Impuestos netos sobre los productos;2019;151.213
Total Nacional;19 Melilla;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.616.543
Total Nacional;19 Melilla;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.514.009
Total Nacional;19 Melilla;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.625.086
