Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;02 Aragón;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;6.601.287
Total Nacional;02 Aragón;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;6.515.304
Total Nacional;02 Aragón;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);1.199.879
Total Nacional;02 Aragón;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.167.924
Total Nacional;02 Aragón;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;1.419.784
Total Nacional;02 Aragón;Valor;Valor añadido bruto total;2021(P);34.524.348
Total Nacional;02 Aragón;Valor;Valor añadido bruto total;2020;32.413.104
Total Nacional;02 Aragón;Valor;Valor añadido bruto total;2019;34.509.134
Total Nacional;02 Aragón;Valor;Impuestos netos sobre los productos;2021(P);3.635.123
Total Nacional;02 Aragón;Valor;Impuestos netos sobre los productos;2020;3.108.475
Total Nacional;02 Aragón;Valor;Impuestos netos sobre los productos;2019;3.540.487
Total Nacional;02 Aragón;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);38.159.471
Total Nacional;02 Aragón;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;35.521.579
Total Nacional;02 Aragón;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;38.049.621
Total Nacional;03 Asturias, Principado de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.549.659
Total Nacional;03 Asturias, Principado de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
Total Nacional;03 Asturias, Principado de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
Total Nacional;03 Asturias, Principado de;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);306.301
Total Nacional;03 Asturias, Principado de;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;284.291
Total Nacional;03 Asturias, Principado de;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;307.966
Total Nacional;03 Asturias, Principado de;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);4.572.369
Total Nacional;03 Asturias, Principado de;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.762.056
Total Nacional;03 Asturias, Principado de;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;4.239.988
Total Nacional;03 Asturias, Principado de;Valor;C. - De las cuales: Industria manufacturera;2021(P);3.118.701
Total Nacional;03 Asturias, Principado de;Valor;C. - De las cuales: Industria manufacturera;2020;2.508.510
Total Nacional;03 Asturias, Principado de;Valor;C. - De las cuales: Industria manufacturera;2019;2.902.969
Total Nacional;03 Asturias, Principado de;Valor;F. Construcción;2021(P);1.392.272
Total Nacional;03 Asturias, Principado de;Valor;F. Construcción;2020;1.314.621
Total Nacional;03 Asturias, Principado de;Valor;F. Construcción;2019;1.521.189
